,<function Mordified_DE at 0x000001D6DCE9A050>,<function Original_DE at 0x000001D6DCE9AB90>,<function Original_DE_2 at 0x000001D6DCE9ACB0>,<function Original_DE_3 at 0x000001D6DCE9AD40>
sphare,0.023612985558799225,0.014125441252269668,0.017114976968806248,0.0130697994159993
Rastrigin,0.0150777805338413,0.009954563632814876,0.014645980507879148,0.01440578847102744
Ackley,0.020133297501620784,0.016436288245315123,0.015427954828189578,0.22963686866070948
Rosenbrock,1.2785920464956064,0.9329783549648913,2.0590094425034073,1.6271717957838414
Beale,0.09176539229737847,0.013454452021569585,0.011313940720274453,0.13706399508264497
Goldstein_Price,0.012857461987825768,0.01459740362075032,0.012111952664775346,0.012618301862125834
bohachevsky,0.013058978884884056,0.010227145350068743,0.014994507599856169,0.01450215678695546
booth,0.01104295880015996,0.01161617277465972,0.008306516300654852,0.012013336637398358
matyas,0.014335386614503953,0.021164191057976064,0.009117633187383548,0.01156417571211737
zakharov,0.019855244839085233,0.011805460513185102,0.0117126706042863,0.018314520539563305
six_hump,0.010896558706085554,0.0116613365132304,0.015661271616062067,0.015699636052132603
